id,prompt_text,prompt_token_count,has_complexity_term,turn_type,context_window_tokens,context_provided,task_type,tier_floor,escalation_score,tier
23,Rewrite the product description attached for a non-technical exec. Do not use bullet points anywhere in the body. Flag anywhere you had to invent a detail I will need to check. End with a call to action pointing at the docs. Write it so first-time investors could follow it without any background in the area. Then analyse which section is weakest for that audience and say why. Keep it under 25 words. Give me three alternative headline options at the end. Include two short quotes attributed to the engineering lead.,122,True,one_shot,14670,True,Rewrite,3,3,3
24,"Go through the insurance claim files attached and mark which ones touch on carbon offset registries. Tell me how many records you skipped and on what grounds. Keep the original identifiers so I can join this back to the source. Use ISO dates throughout. Do not reformat any field I have not asked you to touch. Normalise the currency values to USD and say what rate you used. Add a count of how many records fell into each bucket. Where a field appears twice with different values, show both.",120,False,one_shot,15600,True,Classification,2,2,3
25,Which of these 10 entries are worth escalating?,11,False,multi_turn,4660,True,Classification,2,2,3
26,"Using only the earnings call transcript below, does it say anything about carbon offset registries?",20,False,one_shot,460,True,Closed QA,1,0,1
27,"Pull the top five takeaways out of the incident postmortem below and note anything the author leaves unsupported. Rank the findings by how much each would change the decision. Where two sources disagree, say which one you weighted more and why.",55,True,one_shot,16220,True,Summarization,2,3,3
28,Now add job title handling to that webhook handler. Make the logging structured so it parses cleanly downstream.,24,False,multi_turn,8100,True,Code Generation,3,2,3
29,"Tag each row in the support thread below, then compare the distribution against the batch I sent earlier. Separate clearly what the data supports from what is your inference.",39,True,multi_turn,9070,True,Classification,2,3,3
30,"Give me a first draft of a cover letter for our support team, based on the vendor contract below. Match the tone of the style guide pasted below rather than your default voice. Include two short quotes attributed to the engineering lead.",57,False,multi_turn,2340,True,Text Generation,1,1,1
31,Is swarm robotics regulated differently in the EU than in the US?,16,False,one_shot,0,False,Open QA,1,0,1
32,"Parse the research papers in this thread and pull out every contract value, then summarise what the spread looks like. Separate clearly what the data supports from what is your inference.",42,True,multi_turn,37820,True,Extraction,1,4,3
33,Give me just the renewal date from the text above.,14,False,one_shot,1480,True,Extraction,1,0,1
34,"Tag each row in the customer review batch below, then compare the distribution against the batch I sent earlier. Note where the sample is too small to carry the conclusion. Give a rough confidence level for each conclusion and say what would raise it. Sanity check the arithmetic before you present any figure.",72,True,multi_turn,9680,True,Classification,2,3,3
35,"Summarise the customer review batchs attached for high school students. Distinguish the near-term implications from the structural ones. Separate clearly what the data supports from what is your inference. Compare it against the version we discussed earlier in this thread. Keep the scope to what is actually in front of you, not the wider market. Show your reasoning for each judgement rather than just the conclusion. Give a rough confidence level for each conclusion and say what would raise it. If the framing itself is wrong, say so before answering.",122,True,one_shot,43600,True,Summarization,2,4,3
36,Condense that into a paragraph new hires could read in 30 seconds. Write it so a procurement committee could follow it without any background in the area.,36,False,multi_turn,820,True,Summarization,2,1,2
37,"Go through the clinical trial summarys attached and mark which ones touch on desalination. Add a count of how many records fell into each bucket. Leave the cell blank rather than guessing when a value is missing. Preserve the original ordering of the records. Flag any duplicate entries rather than silently collapsing them. Do not reformat any field I have not asked you to touch. Where a field appears twice with different values, show both. Add a final row with the totals for the numeric columns.",116,True,one_shot,14050,True,Classification,2,2,3
38,What could we do about a stalled enterprise pipeline that we haven't already tried? Flag anything where the source is ambiguous instead of guessing. Sanity check the arithmetic before you present any figure. Call out the two weakest points in the argument as you see them.,62,False,multi_turn,2640,True,Brainstorming,3,1,3
39,Give me just the payment term from the text above.,14,False,one_shot,1520,True,Extraction,1,0,1
40,"Label each of the 20 entries in the incident postmortem below as billing, technical or account access. Do not reformat any field I have not asked you to touch.",39,False,multi_turn,550,True,Classification,2,1,2
41,"How does container shipping actually work, roughly?",9,False,one_shot,0,False,Open QA,1,0,1
42,"Edit the insurance claim file below so it reads less salesy, then analyse what changed in tone versus the original. Leave a placeholder where the legal team needs to insert the disclaimer. Mirror the structure of the last announcement so the series feels consistent. Match the tone of the style guide pasted below rather than your default voice.",78,True,one_shot,5370,True,Rewrite,3,2,3
43,"Parse the clinical trial summarys in this thread and pull out every renewal date, then summarise what the spread looks like. Rank the findings by how much each would change the decision.",43,True,multi_turn,14210,True,Extraction,1,3,2
44,Build me a spreadsheet from the vendor contracts attached. Note which records you were unsure about and why. Sort the output by the most recent date first. Return the result as a table with one row per record. Use ISO dates throughout. Normalise the currency values to USD and say what rate you used. Treat blank and zero as different things. Add a final row with the totals for the numeric columns. Tell me how many records you skipped and on what grounds. Leave the cell blank rather than guessing when a value is missing. Flag any duplicate entries rather than silently collapsing them. Add a count of how many records fell into each bucket.,155,False,one_shot,14400,True,Extraction,1,2,2
45,"Why did creator payouts take off when it did, and what would have to change for it to stall? Sanity check the arithmetic before you present any figure. Give a rough confidence level for each conclusion and say what would raise it. Flag anything where the source is ambiguous instead of guessing. Show your reasoning for each judgement rather than just the conclusion. Distinguish the near-term implications from the structural ones.",96,True,one_shot,820,True,Open QA,1,1,1
46,"Go back over all the lease agreements in this thread and summarise how the story on carbon offset registries changed over time, keeping the numbers that support each shift. Note any assumption you had to make to get there. Note where the sample is too small to carry the conclusion.",68,True,multi_turn,33650,True,Summarization,2,4,3
47,Sort these 500 items into the three buckets we agreed on earlier.,16,False,multi_turn,860,True,Classification,2,1,2
48,"Ideas for a side project at the intersection of container shipping and secondhand fashion resale. Where two sources disagree, say which one you weighted more and why. Rank the findings by how much each would change the decision.",51,True,one_shot,0,False,Brainstorming,3,1,3
49,Thanks. And what about microfinance?,7,False,multi_turn,4220,True,Chatbot,3,2,3
50,Now add phone number handling to that migration script. Explain the trade-off you made on the retry strategy.,24,True,multi_turn,7460,True,Code Generation,3,3,3
51,Summarise the key decisions and owners from this insurance claim file. Sanity check the arithmetic before you present any figure.,27,True,one_shot,2920,True,Summarization,2,1,2
52,"Given everything we covered about secondhand fashion resale, compare the two options again and tell me which holds up better under pressure. Keep the scope to what is actually in front of you, not the wider market. Separate clearly what the data supports from what is your inference.",65,True,multi_turn,3690,True,Open QA,1,2,2
53,Summarise the support thread below in 6 bullets.,11,True,one_shot,1620,True,Summarization,2,1,2
54,"Answer these from the vendor contract below only: what is the severity level, who owns it, and what happens if the deadline slips? Flag anything where the source is ambiguous instead of guessing. Where two sources disagree, say which one you weighted more and why. Tell me what evidence would change your mind on the main claim. Compare it against the version we discussed earlier in this thread.",92,True,one_shot,2310,True,Closed QA,1,1,1
55,I'm going in circles on support tickets spiking every Monday. Talk me through it. Give a rough confidence level for each conclusion and say what would raise it. Note where the sample is too small to carry the conclusion.,53,False,multi_turn,1280,True,Chatbot,3,1,3
56,"Ok so given what we said about shutting down the legacy API, what should I actually do this week?",26,False,multi_turn,15320,True,Chatbot,3,2,3
57,"Using only the clinical trial summary below, does it say anything about student housing?",19,True,one_shot,5420,True,Closed QA,1,2,2
58,Brainstorm 3 ideas for indoor air quality.,9,False,multi_turn,530,True,Brainstorming,3,1,3
59,"Translate the board deck below into Spanish, keeping the formatting. Then analyse which section is weakest for that audience and say why. End with a call to action pointing at the docs.",43,True,one_shot,3980,True,Other,3,1,3
60,"From the lease agreement below, list all the severity levels that appear.",16,False,one_shot,1710,True,Extraction,1,0,1
61,Write a support macro aimed at our support team. Assume the reader has already seen the teaser we sent last week. Match the tone of the style guide pasted below rather than your default voice.,47,False,one_shot,0,False,Text Generation,1,0,1
62,"Summarise the clinical trial summarys attached for a non-technical exec. Flag anything where the source is ambiguous instead of guessing. Give a rough confidence level for each conclusion and say what would raise it. Note any assumption you had to make to get there. If the framing itself is wrong, say so before answering. Tell me what evidence would change your mind on the main claim. Call out the two weakest points in the argument as you see them. Show your reasoning for each judgement rather than just the conclusion.",122,True,one_shot,11920,True,Summarization,2,3,3
63,Now add postcode handling to that rate limiter.,11,False,multi_turn,15880,True,Code Generation,3,2,3
64,Ideas for a side project at the intersection of microfinance and desalination.,16,False,multi_turn,490,True,Brainstorming,3,1,3
65,Plan a 500-day itinerary for Tbilisi around student housing. Assume the reader has already seen the teaser we sent last week.,28,False,one_shot,0,False,Other,3,0,3
66,"Build a Python pagination helper for our service. Keep the existing test suite passing without editing the tests. Include a short docstring for each public function. Assume this runs in a container with no persistent disk. Add unit tests covering the error paths, not just the happy path. Add type hints throughout and make it pass strict mode. Benchmark the hot path and tell me if the change costs anything. Make the logging structured so it parses cleanly downstream. Keep the public interface exactly as it is today.",119,False,one_shot,1620,True,Code Generation,3,0,3
67,"Given everything we covered about student housing, compare the two options again and tell me which holds up better under pressure. Compare it against the version we discussed earlier in this thread.",43,True,multi_turn,3870,True,Open QA,1,2,2
68,"Ideas for a side project at the intersection of warehouse automation and retail banking in Kenya. Call out the two weakest points in the argument as you see them. Where two sources disagree, say which one you weighted more and why.",55,True,one_shot,0,False,Brainstorming,3,1,3
69,I need a performance review about campus food waste by tomorrow. Flag anywhere you had to invent a detail I will need to check. Write it so first-time investors could follow it without any background in the area. Match the tone of the style guide pasted below rather than your default voice. Leave a placeholder where the legal team needs to insert the disclaimer. End with a call to action pointing at the docs. Work in the three pricing tiers without making it read like a price list. Mirror the structure of the last announcement so the series feels consistent. Do not use bullet points anywhere in the body. Keep it under 30 words. Include two short quotes attributed to the engineering lead. Use British spelling throughout. Then analyse which section is weakest for that audience and say why.,188,True,one_shot,0,False,Text Generation,1,2,2
70,Summarise the key decisions and owners from this policy document. Distinguish the near-term implications from the structural ones.,24,True,one_shot,1850,True,Summarization,2,1,2
71,Classify the records in the shift handover log attached by email address.,16,False,multi_turn,1280,True,Classification,2,1,2
72,"Ok so given what we said about taking the London offer, what should I actually do this week?",24,False,multi_turn,4790,True,Chatbot,3,2,3
73,Give me the short version of the board deck attached.,14,False,one_shot,750,True,Summarization,2,0,2
74,Tighten the landing page headline below without losing the detail on urban composting. Leave a placeholder where the legal team needs to insert the disclaimer.,34,False,one_shot,1700,True,Rewrite,3,0,3
75,"According to the clinical trial summary above, what escalation owner was recorded for the second trial arm?",23,True,multi_turn,450,True,Closed QA,1,2,2
76,Summarise the key decisions and owners from this audit report. Tell me what evidence would change your mind on the main claim.,30,True,one_shot,3080,True,Summarization,2,1,2
77,"Go back over all the support threads in this thread and summarise how the story on warehouse automation changed over time, keeping the numbers that support each shift. Point out anything a reviewer would immediately push back on. Keep the scope to what is actually in front of you, not the wider market.",72,True,multi_turn,19480,True,Summarization,2,4,3
78,"Go through the 10 policy documents in this thread, extract the phone number and invoice total for each, then compare them and flag anything inconsistent. If the framing itself is wrong, say so before answering.",47,True,multi_turn,16130,True,Extraction,1,4,3
79,"Hey, I'm trying to decide about self-hosting our analytics. Can you help me think it through? If the framing itself is wrong, say so before answering.",35,False,one_shot,550,True,Chatbot,3,0,3
80,Give me just the dosage from the text above.,12,False,one_shot,1180,True,Extraction,1,0,1
81,I need the SKU for the pilot cohort out of the lease agreement below.,19,False,one_shot,5290,True,Extraction,1,1,1
82,"Hey, I'm trying to decide about moving the team to a four-day week. Can you help me think it through? Distinguish the near-term implications from the structural ones.",38,True,one_shot,0,False,Chatbot,3,1,3
83,Pull the top five takeaways out of the policy document below and note anything the author leaves unsupported. Sanity check the arithmetic before you present any figure. Call out the two weakest points in the argument as you see them.,54,False,one_shot,4340,True,Summarization,2,1,2
84,Classify the records in the support thread attached by escalation owner. Treat blank and zero as different things. Normalise the currency values to USD and say what rate you used.,40,False,one_shot,5560,True,Classification,2,1,2
85,Sort these 300 items into the three buckets we agreed on earlier.,16,False,multi_turn,4100,True,Classification,2,2,3
86,Thanks. And what about desalination?,7,False,multi_turn,3110,True,Chatbot,3,1,3
87,I need a conference abstract about indoor air quality by tomorrow. Keep every sentence under 20 words so it stays scannable on mobile. Use British spelling throughout. Then analyse which section is weakest for that audience and say why. Leave a placeholder where the legal team needs to insert the disclaimer. Work in the three pricing tiers without making it read like a price list. Flag anywhere you had to invent a detail I will need to check. Include two short quotes attributed to the engineering lead. Mirror the structure of the last announcement so the series feels consistent. Keep it under 12 words. End with a call to action pointing at the docs. Write it so our support team could follow it without any background in the area.,174,True,one_shot,0,False,Text Generation,1,2,2
88,"Using only the user interview notes below, does it say anything about creator payouts?",19,False,one_shot,4400,True,Closed QA,1,1,1
89,"According to the policy document above, what postcode was recorded for the second trial arm?",20,False,one_shot,5530,True,Closed QA,1,1,1
90,Write a 40-sentence release note for the pilot cohort.,12,False,one_shot,0,False,Text Generation,1,0,1
91,"Based on the attached product spec, when is the escalation owner?",15,False,one_shot,850,True,Closed QA,1,0,1
92,"Go through the 150 support threads in this thread, extract the contract value and counterparty name for each, then compare them and flag anything inconsistent.",34,True,multi_turn,61900,True,Extraction,1,4,3
93,"Using only the research paper below, does it say anything about carbon offset registries?",19,False,one_shot,4430,True,Closed QA,1,1,1
94,Brainstorm 12 ideas for grid-scale storage.,8,False,one_shot,0,False,Brainstorming,3,0,3
95,Is grid-scale storage regulated differently in the EU than in the US?,16,False,multi_turn,410,True,Open QA,1,1,1
96,Summarise the product spec below in 3 bullets.,11,True,one_shot,5670,True,Summarization,2,2,3
97,"Label each of the 30 entries in the grant proposal below as billing, technical or account access.",23,False,one_shot,2670,True,Classification,2,0,2
98,Does the insurance claim file attached support the claim about microfinance? Quote the line if so. Show your reasoning for each judgement rather than just the conclusion.,36,False,one_shot,4490,True,Closed QA,1,1,1
99,Play devil's advocate against my decision about taking the London offer.,15,False,one_shot,1700,True,Other,3,0,3
100,Summarise the key decisions and owners from this product spec. Flag anything where the source is ambiguous instead of guessing.,27,True,one_shot,5680,True,Summarization,2,2,3
101,What is the capital of Ljubljana's region and roughly how many people live there?,19,False,one_shot,0,False,Open QA,1,0,1
102,Go through the Slack exports attached and mark which ones touch on warehouse automation. Tell me how many records you skipped and on what grounds. Use ISO dates throughout. Do not reformat any field I have not asked you to touch. Treat blank and zero as different things. Normalise the currency values to USD and say what rate you used. Add a count of how many records fell into each bucket. Sort the output by the most recent date first. Flag any duplicate entries rather than silently collapsing them. Leave the cell blank rather than guessing when a value is missing. Keep the original identifiers so I can join this back to the source. Strip out the internal test records before you count anything.,167,False,one_shot,23670,True,Classification,2,3,3
103,"Summarise the grant proposals attached for a procurement committee. Separate clearly what the data supports from what is your inference. If the framing itself is wrong, say so before answering. Tell me what evidence would change your mind on the main claim. Rank the findings by how much each would change the decision. Point out anything a reviewer would immediately push back on. Sanity check the arithmetic before you present any figure. Where two sources disagree, say which one you weighted more and why. Note any assumption you had to make to get there. Keep the scope to what is actually in front of you, not the wider market. Give a rough confidence level for each conclusion and say what would raise it. Distinguish the near-term implications from the structural ones. Flag anything where the source is ambiguous instead of guessing.",190,True,multi_turn,7990,True,Summarization,2,4,3
104,"From the vendor contract below, list all the SKUs that appear.",15,False,one_shot,1030,True,Extraction,1,0,1
105,Give me the short version of the user interview notes attached.,15,False,one_shot,990,True,Summarization,2,0,2
106,"According to the shift handover log above, what deadline was recorded for the pilot cohort?",20,False,one_shot,970,True,Closed QA,1,0,1
107,Pull the top five takeaways out of the RFP response below and note anything the author leaves unsupported. Note any assumption you had to make to get there. Call out the two weakest points in the argument as you see them.,55,False,one_shot,14270,True,Summarization,2,1,2
108,"Using only the research paper below, does it say anything about desalination?",16,False,one_shot,1480,True,Closed QA,1,0,1
109,Write a Kotlin function that validates invoice totals. Make the logging structured so it parses cleanly downstream.,23,False,one_shot,570,True,Code Generation,3,0,3
110,I need a newsletter intro about grid-scale storage by tomorrow. Give me three alternative headline options at the end. Do not use bullet points anywhere in the body. Leave a placeholder where the legal team needs to insert the disclaimer. Mirror the structure of the last announcement so the series feels consistent. Write it so high school students could follow it without any background in the area. Open with a customer problem rather than a feature list.,104,False,multi_turn,540,True,Text Generation,1,1,1
111,I need the email address for the pilot cohort out of the shift handover log below.,22,False,one_shot,5000,True,Extraction,1,1,1
112,Extract every phone number and postcode from the research paper below and put them in a table. Sort the output by the most recent date first.,35,False,one_shot,4930,True,Extraction,1,1,1
113,"Translate the RFP response below into Spanish, keeping the formatting. Do not use bullet points anywhere in the body. Work in the three pricing tiers without making it read like a price list.",45,False,multi_turn,5280,True,Other,3,2,3
114,"We're stuck on slow contract turnaround. Throw out some options. Distinguish the near-term implications from the structural ones. If the framing itself is wrong, say so before answering.",38,True,one_shot,1440,True,Brainstorming,3,1,3
115,Give me just the job title from the text above.,14,False,one_shot,1620,True,Extraction,1,0,1
116,Play devil's advocate against my decision about moving the team to a four-day week. Compare it against the version we discussed earlier in this thread. Note where the sample is too small to carry the conclusion.,49,True,one_shot,430,True,Other,3,1,3
117,Condense that into a paragraph the board could read in 30 seconds.,16,False,multi_turn,3790,True,Summarization,2,1,2
118,Build a Java connection pool for our service. Keep it compatible with the current config format so nothing needs migrating. Note anywhere the change could break a caller you cannot see. Make the logging structured so it parses cleanly downstream. Write it so it degrades gracefully when the upstream is down. Do not add any new third-party dependencies. Leave a comment wherever the behaviour is deliberately non-obvious. Explain the trade-off you made on the retry strategy.,103,True,one_shot,670,True,Code Generation,3,1,3
119,Give me the short version of the incident postmortem attached.,14,False,one_shot,2990,True,Summarization,2,0,2
120,"Write the job posting for our new swarm robotics product. End with a call to action pointing at the docs. Avoid naming any competitor, even indirectly. Include two short quotes attributed to the engineering lead. Do not use bullet points anywhere in the body. Match the tone of the style guide pasted below rather than your default voice. Leave a placeholder where the legal team needs to insert the disclaimer. Open with a customer problem rather than a feature list.",108,False,one_shot,1440,True,Text Generation,1,0,1
121,Pull the payment term from each of the 5 product specs attached.,16,False,one_shot,3260,True,Extraction,1,0,1
122,Summarise the lease agreement below in 5 bullets.,11,True,one_shot,1440,True,Summarization,2,1,2
123,Now add escalation owner handling to that auth middleware. Add type hints throughout and make it pass strict mode. Keep it compatible with the current config format so nothing needs migrating.,42,False,multi_turn,5470,True,Code Generation,3,2,3
124,Summarise the product spec below in 30 bullets. Flag anything where the source is ambiguous instead of guessing.,24,True,one_shot,1500,True,Summarization,2,1,2
125,Build a Go auth middleware for our service. Add type hints throughout and make it pass strict mode. Keep the public interface exactly as it is today. Handle the timeout case explicitly rather than letting it bubble. Benchmark the hot path and tell me if the change costs anything. Assume this runs in a container with no persistent disk. Leave a comment wherever the behaviour is deliberately non-obvious. Note anywhere the change could break a caller you cannot see. Avoid any global mutable state. Write it so it degrades gracefully when the upstream is down.,128,False,one_shot,2860,True,Code Generation,3,1,3
126,"I need a conference abstract about desalination by tomorrow. End with a call to action pointing at the docs. Avoid naming any competitor, even indirectly. Use British spelling throughout. Give me three alternative headline options at the end. Keep every sentence under 20 words so it stays scannable on mobile. Leave a placeholder where the legal team needs to insert the disclaimer.",84,False,one_shot,0,False,Text Generation,1,0,1
127,"Summarise the Slack exports attached for first-time investors. Compare it against the version we discussed earlier in this thread. Give a rough confidence level for each conclusion and say what would raise it. Keep the scope to what is actually in front of you, not the wider market. Point out anything a reviewer would immediately push back on. If the framing itself is wrong, say so before answering. Separate clearly what the data supports from what is your inference. Flag anything where the source is ambiguous instead of guessing. Where two sources disagree, say which one you weighted more and why. Note where the sample is too small to carry the conclusion. Sanity check the arithmetic before you present any figure. Tell me what evidence would change your mind on the main claim. Show your reasoning for each judgement rather than just the conclusion. Distinguish the near-term implications from the structural ones.",205,True,one_shot,89610,True,Summarization,2,4,3
128,Sort these 3 items into the three buckets we agreed on earlier. Note which records you were unsure about and why. Flag any duplicate entries rather than silently collapsing them.,40,False,multi_turn,520,True,Classification,2,1,2
129,"Summarise the meeting transcripts attached for the ops team. Compare it against the version we discussed earlier in this thread. Note any assumption you had to make to get there. Where two sources disagree, say which one you weighted more and why. Distinguish the near-term implications from the structural ones. Keep the scope to what is actually in front of you, not the wider market. If the framing itself is wrong, say so before answering. Show your reasoning for each judgement rather than just the conclusion. Call out the two weakest points in the argument as you see them. Give a rough confidence level for each conclusion and say what would raise it.",153,True,one_shot,77200,True,Summarization,2,4,3
130,"What could we do about support tickets spiking every Monday that we haven't already tried? Where two sources disagree, say which one you weighted more and why.",36,True,one_shot,6910,True,Brainstorming,3,2,3
131,"Using only the board deck below, does it say anything about freight rail scheduling?",19,False,one_shot,3320,True,Closed QA,1,0,1
132,Build me a spreadsheet from the grant proposals attached. Note which records you were unsure about and why. Flag any duplicate entries rather than silently collapsing them. Tell me how many records you skipped and on what grounds. Keep the original identifiers so I can join this back to the source. Do not reformat any field I have not asked you to touch. Add a final row with the totals for the numeric columns. Add a count of how many records fell into each bucket.,115,False,multi_turn,71920,True,Extraction,1,3,2
133,Write the landing page headline for our new secondhand fashion resale product. Mirror the structure of the last announcement so the series feels consistent. Write it so new hires could follow it without any background in the area. End with a call to action pointing at the docs. Match the tone of the style guide pasted below rather than your default voice. Then analyse which section is weakest for that audience and say why. Include two short quotes attributed to the engineering lead. Keep it under 100 words.,119,True,one_shot,1250,True,Text Generation,1,1,1
134,"Using only the RFP response below, does it say anything about indoor air quality?",19,False,multi_turn,1280,True,Closed QA,1,1,1
135,What would it take to get into urban composting with no background in it? Point out anything a reviewer would immediately push back on. Compare it against the version we discussed earlier in this thread. Distinguish the near-term implications from the structural ones.,58,True,one_shot,0,False,Open QA,1,1,1
136,Thanks. And what about carbon offset registries?,9,False,multi_turn,1150,True,Chatbot,3,1,3
137,"Looking back at the meeting transcript I shared earlier, what did it say about the Nairobi office?",23,False,multi_turn,2440,True,Closed QA,1,1,1
138,Refactor this TypeScript rate limiter to be async and keep the behaviour identical. Include a short docstring for each public function. Write it so it degrades gracefully when the upstream is down. Keep it compatible with the current config format so nothing needs migrating.,59,False,one_shot,5720,True,Code Generation,3,1,3
139,"According to the research paper above, what severity level was recorded for the northern depot?",20,False,one_shot,610,True,Closed QA,1,0,1
140,Rewrite this conference abstract so it sounds less salesy.,12,False,one_shot,930,True,Rewrite,3,0,3
141,"Port this session store from Python to Kotlin. Note anywhere the change could break a caller you cannot see. Add unit tests covering the error paths, not just the happy path. Include a short docstring for each public function. Keep the existing test suite passing without editing the tests. Make the logging structured so it parses cleanly downstream. Write it so it degrades gracefully when the upstream is down. Avoid any global mutable state. Leave a comment wherever the behaviour is deliberately non-obvious.",112,False,one_shot,21730,True,Code Generation,3,2,3
142,"Roleplay as a product coach and interview me about prediction markets. Separate clearly what the data supports from what is your inference. If the framing itself is wrong, say so before answering.",43,False,one_shot,1670,True,Other,3,0,3
143,"Build a Go migration script for our service. Keep the public interface exactly as it is today. Keep the existing test suite passing without editing the tests. Avoid any global mutable state. Benchmark the hot path and tell me if the change costs anything. Make the logging structured so it parses cleanly downstream. Include a short docstring for each public function. Add unit tests covering the error paths, not just the happy path. Assume this runs in a container with no persistent disk. Do not add any new third-party dependencies.",122,False,multi_turn,5110,True,Code Generation,3,3,3
144,Rewrite this performance review so it sounds plainer. Keep every sentence under 20 words so it stays scannable on mobile.,27,False,one_shot,1750,True,Rewrite,3,0,3
145,"Why did freight rail scheduling take off when it did, and what would have to change for it to stall? Sanity check the arithmetic before you present any figure. Call out the two weakest points in the argument as you see them. Rank the findings by how much each would change the decision. Point out anything a reviewer would immediately push back on.",85,False,one_shot,0,False,Open QA,1,0,1
146,"Label each of the 300 entries in the Slack export below as billing, technical or account access.",23,False,one_shot,1730,True,Classification,2,0,2
147,"According to the audit report above, what email address was recorded for the northern depot?",20,False,one_shot,1260,True,Closed QA,1,0,1
148,"Edit the insurance claim file below so it reads more concise, then analyse what changed in tone versus the original. Give me three alternative headline options at the end. Work in the three pricing tiers without making it read like a price list. Keep it under 50 words.",65,True,one_shot,15040,True,Rewrite,3,2,3
